GPS_Lat,GPS_Lon,Pressvalve_Left,Pressvalve_Right,GSR,Point Number
51.51569793,0.006146047,99,328,287,74
51.51570743,0.006155497,307,217,285,75
51.51570692,0.006141904,236,166,284,76
51.51569027,0.00611139,245,684,282,77
51.51570471,0.006105038,566,150,281,78
51.51569777,0.006085595,363,569,279,79
51.51570892,0.006101641,76,180,281,80
51.51569343,0.006114417,289,253,280,81
51.51569998,0.006092827,543,446,282,82
51.51570773,0.006091427,100,263,280,83
51.51570353,0.006055408,435,182,278,84
51.51569922,0.00606757,260,259,278,85
51.51571101,0.006055901,320,213,279,86
51.51569648,0.006017467,338,287,279,87
51.51570668,0.006027409,158,280,280,88
51.51570454,0.006008289,336,307,281,89
51.51570841,0.006031481,155,241,281,90
51.51570035,0.006032362,357,2,281,91
51.51571343,0.006012622,209,227,282,92
51.51570186,0.006007574,147,333,281,93
51.51570462,0.005983973,117,558,279,94
51.51571589,0.005965255,266,267,281,95
51.51570379,0.005953677,157,411,282,96
51.51571775,0.005967527,523,300,281,97
51.51571407,0.005954218,20,174,282,98
51.51570995,0.005938156,122,235,284,99
51.51571772,0.005962047,360,40,283,100
51.51570512,0.005930185,166,432,281,101
51.51570831,0.005902779,141,138,283,102
51.51571816,0.005901309,127,265,282,103
51.51571862,0.005925831,297,221,284,104
51.51571922,0.005877821,83,137,285,105
51.51570747,0.005893997,514,89,285,106
51.51571716,0.00587568,154,99,285,107
51.51571649,0.005875167,77,316,285,108
51.51571923,0.005843209,215,449,283,109
51.51571776,0.005861493,240,562,284,110
51.51571859,0.00584837,439,373,285,111
51.51572665,0.005852366,112,71,285,112
51.515723,0.005826257,48,372,285,113
51.51572238,0.00580518,150,499,285,114
51.51571889,0.005828528,710,185,310,115
51.51572838,0.005820851,127,462,286,116
51.51573161,0.005821777,82,240,287,117
51.51573016,0.005777103,192,41,289,118
51.51572613,0.00577179,557,112,287,119
51.51572822,0.005783892,167,234,289,120
51.51573122,0.005754263,521,528,287,121
51.51572064,0.005752654,271,307,287,122
51.51572181,0.00576396,372,189,287,123
51.51573582,0.005749827,445,638,288,124
51.51572087,0.005716186,337,324,290,125
51.51573071,0.005748452,595,8,292,126
51.51572803,0.00572483,106,364,294,127
51.51572438,0.005699639,271,175,294,128
51.51573735,0.005710986,90,284,295,129
51.51573878,0.005689334,546,633,295,130
51.51574058,0.005682985,304,268,295,131
51.51573044,0.005703477,595,98,294,132
51.51572937,0.005668301,195,191,293,133
51.51572834,0.005650404,222,81,291,134
51.51572605,0.00566196,12,126,290,135
51.51573705,0.005670887,153,344,290,136
51.51574369,0.005624062,388,398,289,137
51.51573324,0.005621183,233,232,291,138
51.51572994,0.005611276,612,356,289,139
51.51573583,0.005637928,365,45,289,140
51.5157305,0.005616275,216,200,287,141
51.51573562,0.005623547,30,185,288,142
51.51574075,0.00560099,107,296,290,143
51.51573516,0.005597053,252,109,291,144
51.5157412,0.005567615,172,136,289,145
51.51574541,0.005599088,211,292,290,146
51.51574295,0.005575406,221,96,292,147
51.51575771,0.005601152,160,86,290,148
51.51575412,0.005553478,389,181,292,149
51.51575775,0.0055582,237,601,290,150
51.5157442,0.005547958,44,339,291,151
51.51576336,0.00557364,256,210,290,152
51.51575134,0.005540621,59,85,290,153
51.51574772,0.005518382,764,229,299,154
51.51575841,0.005535191,480,283,287,155
51.51575488,0.00554286,334,222,287,156
51.51576901,0.005506955,627,82,288,157
51.51575585,0.005535918,437,235,289,158
51.5157568,0.005523483,778,82,300,159
51.51575653,0.005484068,615,347,291,160
51.51575575,0.005485928,596,624,289,161
51.51575658,0.005528428,582,391,289,162
51.51575816,0.005504551,544,80,287,163
51.51576675,0.005516222,342,108,287,164
51.51577379,0.0054958,348,166,288,165
51.51576321,0.005491909,650,616,288,166
51.51576724,0.005468785,976,342,313,167
51.51577638,0.005456972,343,647,288,168
51.51578192,0.005445207,838,206,328,169
51.51576845,0.005443097,54,332,289,170
51.51577631,0.005451238,443,221,290,171
51.51577626,0.005457622,663,164,289,172
51.51578152,0.005423635,402,109,287,173
51.51577939,0.005456369,368,219,285,174
51.51577769,0.005432515,779,450,296,175
51.51579377,0.005417579,441,684,288,176
51.51579137,0.005427366,578,163,286,177
51.51577967,0.005399796,327,93,286,178
51.51578323,0.005408275,743,88,309,179
51.51578005,0.005420674,621,516,287,180
51.51578266,0.005388661,348,62,289,181
51.51579495,0.005406452,597,395,290,182
51.51579889,0.00540985,354,151,288,183
51.5157919,0.005395555,566,242,288,184
51.51578634,0.005378367,396,360,289,185
51.51580492,0.005387818,663,209,290,186
51.51580372,0.005389968,408,445,288,187
51.51580372,0.00534203,520,192,289,188
51.51579349,0.005355129,336,9,288,189
51.51579561,0.005378604,373,297,287,190
51.51580675,0.00536256,187,697,288,191
51.51581451,0.005359857,372,277,290,192
51.51580919,0.005371653,650,151,291,193
51.51580534,0.005339651,744,242,296,194
51.51579916,0.005339062,316,88,293,195
51.5158041,0.005344499,400,180,294,196
51.5158064,0.005308209,481,316,292,197
51.51580278,0.005316661,331,123,291,198
51.51580792,0.005318258,517,273,292,199
51.51582225,0.005312894,438,232,293,200
51.5158241,0.005277684,429,246,291,201
51.5158086,0.005286604,328,115,289,202
51.51582228,0.005296392,632,549,289,203
51.51582293,0.005307389,737,502,300,204
51.51581964,0.005259659,635,414,289,205
51.51582332,0.005297776,636,208,289,206
51.51582811,0.005275027,439,582,289,207
51.51583268,0.005254501,642,52,291,208
51.51583678,0.005258055,582,172,290,209
51.51582494,0.00524316,399,126,290,210
51.51583561,0.005244797,376,182,289,211
51.5158293,0.005227149,383,140,287,212
51.5158316,0.005220264,561,209,287,213
51.5158349,0.005227603,605,474,289,214
51.51583655,0.005251468,432,282,289,215
51.51583649,0.005242908,555,184,290,216
51.51584893,0.005257181,624,128,288,217
51.51585158,0.005225663,687,162,287,218
51.5158401,0.005229026,697,130,285,219
51.51585024,0.005197107,649,129,285,220
51.51584467,0.005199116,943,69,310,221
51.51584348,0.005194771,420,503,286,222
51.51585539,0.005183936,306,330,287,223
51.51584715,0.005224363,657,381,289,224
51.51584931,0.005186894,439,229,289,225
51.515866,0.005195719,404,78,291,226
51.51585431,0.005182449,612,75,293,227
51.51587009,0.005170114,201,311,294,228
51.51587228,0.005205931,690,237,292,229
51.51586217,0.005185983,646,162,293,230
51.51587265,0.005168835,645,224,295,231
51.51587449,0.005159498,674,729,301,232
51.51588028,0.005176489,465,456,292,233
51.51588113,0.005191277,414,171,291,234
51.51588089,0.00516727,0,288,289,235
51.51587438,0.005181352,962,277,313,236
51.5158851,0.005136514,714,534,310,237
51.51587971,0.005118924,686,734,301,238
51.51588671,0.005120852,386,236,290,239
51.51587677,0.005127314,596,315,288,240
51.51588657,0.005114989,630,155,287,241
51.51589694,0.005121345,762,271,302,242
51.51589034,0.005110319,545,85,287,243
51.51588489,0.005128816,317,170,289,244
51.51590016,0.005131577,625,175,289,245
51.51588669,0.005105976,554,134,288,246
51.51588766,0.005129935,436,58,287,247
51.51589889,0.005086017,627,398,286,248
51.51589526,0.005085641,577,246,288,249
51.51589903,0.005118309,648,61,287,250
51.51590215,0.005094828,68,212,285,251
51.51591157,0.00511054,312,286,287,252
51.51590034,0.005103838,85,289,287,253
51.51591211,0.005061186,340,269,285,254
51.51591801,0.005083253,829,237,321,255
51.51591803,0.0050466,310,680,288,256
51.51591018,0.005076903,322,630,287,257
51.51592198,0.005056959,361,347,289,258
51.51591766,0.005057899,691,275,291,259
51.51591598,0.005029248,424,189,289,260
51.51591486,0.005051942,852,87,313,261
51.51593426,0.005030088,565,157,289,262
51.51592036,0.005021341,667,417,287,263
51.51592133,0.005033402,317,679,286,264
51.5159308,0.005009921,598,177,288,265
51.51592339,0.00500674,85,128,290,266
51.51593017,0.005028152,800,253,300,267
51.51593699,0.005002474,869,70,326,268
51.51594199,0.005016424,560,154,293,269
51.5159355,0.005021347,646,331,293,270
51.51593476,0.005003382,331,119,293,271
51.51594467,0.005034877,675,597,292,272
51.515946,0.005020193,520,520,293,273
51.51595451,0.004990774,434,588,291,274
51.51595324,0.004978401,906,569,312,275
51.51595252,0.004979586,722,431,310,276
51.5159625,0.005002445,734,217,295,277
51.51595095,0.005006081,613,227,288,278
51.51595806,0.004984943,680,234,288,279
51.51596822,0.004991473,529,198,288,280
51.51595509,0.004966658,343,108,286,281
51.51597116,0.005002265,323,138,285,282
51.51596432,0.00498667,663,243,284,283
51.51597054,0.004969572,449,298,284,284
51.51597185,0.00497423,435,396,285,285
51.51596437,0.004967608,96,548,286,286
51.51597301,0.004964143,104,607,288,287
51.51597397,0.004930741,507,164,289,288
51.51597001,0.004952996,426,210,291,289
51.51598217,0.004937197,567,614,293,290
51.51598146,0.00496118,448,490,295,291
51.5159871,0.004971065,701,269,308,292
51.51598383,0.004947634,683,199,295,293
51.51598231,0.004928529,800,530,307,294
51.51599591,0.004915409,724,70,299,295
51.51599341,0.004963261,383,132,293,296
51.51598932,0.004956303,151,81,292,297
51.51599842,0.004945442,486,491,292,298
51.51599711,0.004951606,590,92,292,299
51.51598666,0.004934142,665,508,292,300
51.51599673,0.004941455,743,507,303,301
51.51599081,0.004940666,688,353,292,302
51.51600193,0.004946404,658,43,294,303
51.51599821,0.004923147,467,610,293,304
51.51599999,0.004927254,333,392,292,305
51.51599862,0.004911648,966,136,324,306
51.51600077,0.004901953,665,57,294,307
51.51601659,0.004886782,199,289,294,308
51.51601605,0.004910777,326,377,294,309
51.51601104,0.004910793,583,244,292,310
51.51601315,0.004887022,607,674,292,311
51.5160165,0.004862508,350,223,290,312
51.51601035,0.004893837,38,31,290,313
51.51601687,0.004886679,806,243,330,314
51.51603188,0.004871006,305,166,293,315
51.5160222,0.00485499,770,256,309,316
51.51603153,0.004855835,567,636,290,317
51.51602404,0.004868063,413,351,291,318
51.51602275,0.004852982,574,281,291,319
51.51602518,0.004867235,648,115,293,320
51.51604294,0.004856078,705,377,298,321
51.51604189,0.00488003,800,513,299,322
51.51604089,0.004856074,746,23,296,323
51.51603833,0.004876464,566,254,292,324
51.51603587,0.004883984,527,559,293,325
51.51603984,0.004860832,662,176,294,326
51.51604439,0.004851094,352,101,295,327
51.516044,0.004825331,684,346,295,328
51.51605138,0.004831905,399,656,293,329
51.51605222,0.004862254,193,130,292,330
51.5160532,0.004838295,765,382,297,331
51.51605073,0.00481211,630,156,289,332
51.5160584,0.004807686,664,585,288,333
51.51605276,0.004828151,25,528,289,334
51.5160638,0.004811923,831,126,313,335
51.51606397,0.004824305,591,563,289,336
51.51607331,0.004802343,649,199,288,337
51.51606537,0.004822707,579,563,289,338
51.51606625,0.004816738,683,247,291,339
51.51607485,0.004806505,689,346,289,340
51.51607579,0.00478576,512,160,291,341
51.51607354,0.004809498,766,386,298,342
51.51606991,0.004808307,705,339,303,343
51.51606854,0.004805156,796,112,306,344
51.51607266,0.004790495,634,405,291,345
51.51607871,0.004794869,99,365,290,346
51.5160909,0.004808821,600,711,305,347
51.51609444,0.004795593,602,171,290,348
51.5160848,0.004789107,353,636,289,349
51.51609812,0.004800093,343,521,290,350
51.51609758,0.004776099,689,231,290,351
51.51609786,0.004755725,407,167,292,352
51.51610359,0.004779018,536,123,294,353
51.51610678,0.004755559,482,145,292,354
51.51610854,0.004757527,739,418,306,355
51.51611716,0.004737888,554,276,290,356
51.51612911,0.004752379,304,167,289,357
51.51613082,0.004772025,654,117,291,358
51.51612543,0.004724789,562,143,292,359
51.51612923,0.004745183,403,41,290,360
51.51613521,0.004734929,349,467,290,361
51.51614815,0.004722729,597,20,288,362
51.5161357,0.004736088,762,107,298,363
51.51613711,0.004716555,440,285,285,364
51.51615178,0.004703737,345,667,287,365
51.5161562,0.004687573,743,745,306,366
51.51616509,0.004730726,518,302,287,367
51.51615219,0.004721286,468,272,287,368
51.51616099,0.004707156,447,643,285,369
51.51616991,0.004725389,263,27,286,370
51.5161738,0.004702202,700,279,300,371
51.51617033,0.004696214,313,94,286,372
51.51617136,0.004706649,447,172,285,373
51.51618398,0.004693711,640,437,285,374
51.51618735,0.004674967,632,395,285,375
51.51618528,0.004686028,414,186,285,376
51.51619681,0.004647112,550,166,284,377
51.51619231,0.004647751,325,171,282,378
51.51619608,0.004654918,468,577,283,379
51.51621244,0.004659114,515,164,284,380
51.51620364,0.004639674,688,175,285,381
51.51621156,0.004624577,993,386,324,382
51.51621081,0.004648557,398,63,285,383
51.51622085,0.004619924,458,372,284,384
51.516219,0.004618452,574,330,285,385
51.5162146,0.004624088,276,276,286,386
51.51623029,0.004617483,656,111,285,387
51.51623988,0.00459864,512,182,283,388
51.51623236,0.004619406,335,24,281,389
51.51624299,0.004628044,316,174,280,390
51.51624338,0.004616145,397,277,279,391
51.51625135,0.004576413,391,131,280,392
51.51625434,0.004601156,330,506,278,393
51.51625941,0.004616912,569,57,279,394
51.51626542,0.004605473,660,66,279,395
51.51626408,0.00460616,306,213,279,396
51.51625685,0.0046111,903,160,327,397
51.5162706,0.004575669,890,212,308,398
51.51627395,0.004558753,793,115,296,399
51.51626887,0.004556055,483,71,286,400
51.51626854,0.004587833,477,474,287,401
51.51628234,0.004580641,612,133,288,402
51.51628795,0.004558383,598,377,288,403
51.51629705,0.004562371,652,589,286,404
51.51629701,0.004548733,6,247,285,405
51.5162973,0.004538684,585,289,287,406
51.51630771,0.004543863,227,697,285,407
51.51630039,0.004548276,197,505,286,408
51.51629728,0.004541016,419,491,286,409
51.5163093,0.004555334,586,159,285,410
51.51631431,0.004532704,442,96,283,411
51.51631033,0.004521828,558,244,285,412
51.51632263,0.004535548,29,168,284,413
51.51632305,0.004540345,317,448,282,414
51.51633694,0.004525864,557,663,284,415
51.516327,0.004518034,483,698,283,416
51.51633277,0.004495875,335,178,282,417
51.51634128,0.004479035,422,308,284,418
51.51632831,0.004478772,101,256,282,419
51.51633824,0.004504866,204,550,284,420
51.51635112,0.004518643,144,486,286,421
51.51634418,0.004471928,290,279,284,422
51.51635595,0.004498813,396,279,282,423
51.51635744,0.004474921,187,269,280,424
51.51636185,0.004497868,613,156,280,425
51.5163609,0.004473906,56,167,280,426
51.51635923,0.004490609,100,195,278,427
51.51636575,0.004492522,280,123,278,428
51.51636118,0.004491032,210,125,276,429
51.51636271,0.004455182,254,382,277,430
51.51637307,0.004450942,90,509,277,431
51.51637591,0.00445703,476,168,278,432
51.51637003,0.004440314,149,287,278,433
51.51637589,0.004464979,311,32,277,434
51.51637508,0.004446129,271,41,276,435
51.51637313,0.004479059,204,533,278,436
51.51637716,0.004441521,94,688,279,437
51.51638516,0.004461821,157,16,277,438
51.51638093,0.004467495,384,158,277,439
51.51637947,0.004477927,185,403,279,440
51.51639668,0.004447686,587,607,278,441
51.51638404,0.004451924,83,231,276,442
51.51638912,0.004421216,86,87,278,443
51.51639208,0.004415245,94,84,276,444
51.51639267,0.004430986,82,375,278,445
51.51640755,0.004433657,107,57,278,446
51.51641531,0.004441351,238,268,277,447
51.51640773,0.004441423,119,82,279,448
51.51640361,0.004447862,301,394,280,449
51.51640476,0.00441619,166,189,282,450
51.51641678,0.004411512,118,580,284,451
51.51642487,0.004399093,90,384,285,452
51.51642388,0.004413294,176,163,285,453
51.5164165,0.004422326,571,115,285,454
51.5164221,0.004423041,259,151,287,455
51.5164268,0.004418299,124,407,289,456
51.51643038,0.004436785,434,34,288,457
51.51642761,0.004436168,596,90,289,458
51.51643531,0.00438976,167,545,289,459
51.51643237,0.004406625,415,143,288,460
51.5164335,0.004401335,299,443,287,461
51.51644236,0.004420696,97,302,289,462
51.51643635,0.004382984,205,82,287,463
51.51644138,0.004401799,203,167,286,464
51.5164502,0.004408497,523,313,287,465
51.5164599,0.004375391,222,217,285,466
51.51646053,0.004363443,161,285,287,467
51.5164659,0.004371717,212,41,286,468
51.51646199,0.004394893,624,214,288,469
51.5164544,0.004398943,195,219,289,470
51.5164736,0.004380428,195,281,290,471
51.51646495,0.004366573,209,269,290,472
51.51646504,0.004400886,65,351,291,473
51.51646353,0.004376999,592,306,290,474
51.5164679,0.004354033,378,130,288,475
51.51648075,0.004341701,304,500,289,476
51.51647577,0.004364707,417,370,289,477
51.51648139,0.004380393,440,268,287,478
51.51647967,0.004356541,1,442,286,479
51.51648095,0.004328497,416,126,285,480
51.51649066,0.004373923,132,43,284,481
51.51649632,0.004332352,157,294,286,482
51.51648679,0.004350887,163,411,286,483
51.51649389,0.004336956,231,238,285,484
51.5165033,0.004329204,324,556,283,485
51.5165019,0.00435311,153,263,284,486
51.5165024,0.004306146,534,405,283,487
51.51650939,0.004313985,209,20,285,488
51.51651113,0.004352156,249,206,284,489
51.51652948,0.004349891,617,66,286,490
51.51651554,0.004318312,388,194,284,491
51.51652986,0.004311283,215,102,286,492
51.51653363,0.004328811,128,482,284,493
51.51652994,0.004289425,129,60,282,494
51.51654891,0.004283674,124,108,284,495
51.5165498,0.004307641,315,728,297,496
51.51655335,0.004289167,273,70,283,497
51.51655574,0.004273787,167,85,283,498
51.51655555,0.004297795,229,402,282,499
51.51656481,0.004302742,195,42,283,500
51.51656324,0.004293902,247,321,281,501
51.51657087,0.004288024,568,664,281,502
51.51657462,0.00426478,334,416,280,503
51.51657357,0.004253856,181,12,280,504
51.51658597,0.004267318,225,526,281,505
51.51658011,0.004245221,367,0,283,506
51.51658997,0.004234272,124,328,281,507
51.51659111,0.004258213,259,328,282,508
51.51659395,0.004240038,169,507,282,509
51.51660769,0.00423047,384,278,284,510
51.51659994,0.004224983,730,743,306,511
51.51661035,0.004254922,423,48,288,512
51.5166113,0.004237029,166,342,289,513
51.51662146,0.004254676,325,641,288,514
51.51661935,0.004230906,192,397,288,515
51.51662604,0.004247681,109,411,288,516
51.51663407,0.004201422,24,384,287,517
51.51663761,0.004212762,8,225,286,518
51.51663659,0.004188807,502,344,284,519
51.51665037,0.004198231,454,253,285,520
51.51665186,0.004216091,260,94,284,521
51.51665876,0.004183897,252,390,285,522
51.51665173,0.004205107,329,262,284,523
51.5166553,0.004202074,294,223,283,524
51.51666406,0.004193183,111,193,284,525
51.51667011,0.004171221,136,246,283,526
51.5166847,0.004151736,490,177,282,527
51.51668489,0.004150197,608,620,284,528
51.51667441,0.004176431,238,567,284,529
51.51669079,0.00415994,12,277,282,530
51.51669682,0.004168777,146,15,283,531
51.51669631,0.004141651,153,401,285,532
51.51669526,0.004169235,124,100,285,533
51.51670751,0.004164764,181,129,283,534
51.5167125,0.004142126,568,408,285,535
51.51670735,0.004119578,303,134,286,536
51.51670987,0.004131838,17,267,284,537
51.5167111,0.004160623,705,281,300,538
51.51671893,0.004129398,208,670,286,539
51.51672008,0.004145054,572,217,285,540
51.51673478,0.004140503,383,293,285,541
51.51673582,0.004112889,111,361,283,542
51.51674855,0.004125552,45,106,282,543
51.51675594,0.004122531,366,224,284,544
51.51675083,0.004091385,537,128,286,545
51.51676009,0.004111233,167,243,284,546
51.51676818,0.004113695,660,112,282,547
51.51675809,0.004095951,159,26,284,548
51.51676864,0.004097399,172,347,284,549
51.51676318,0.00410341,279,134,286,550
51.51676537,0.004079658,590,150,288,551
51.51678269,0.004094405,468,92,290,552
51.51678486,0.004070649,395,548,292,553
51.51678233,0.004055346,360,564,291,554
51.51679365,0.00404425,170,3,291,555
51.51680481,0.004060254,206,20,293,556
51.51681779,0.004038453,56,294,291,557
51.51681359,0.004039987,312,350,292,558
51.51683434,0.004043518,258,647,294,559
51.51682229,0.004017465,407,239,295,560
51.51683059,0.004037446,224,397,295,561
51.51684033,0.004019204,652,232,293,562
51.51684362,0.004007957,104,82,295,563
51.51685838,0.004012109,210,562,295,564
51.5168718,0.004012611,200,569,295,565
51.51688102,0.004031541,227,390,294,566
51.51687801,0.004008019,226,308,293,567
51.51689438,0.003994036,47,147,292,568
51.51690048,0.004012089,270,431,290,569
51.51690557,0.004018063,257,105,291,570
51.51690486,0.00399408,162,148,293,571
51.5169113,0.0039724,588,244,293,572
51.51693048,0.003984371,277,464,295,573
51.51692278,0.0039964,219,240,295,574
51.51692517,0.003972697,192,273,293,575
51.51694001,0.003969487,366,443,291,576
51.51694536,0.003947059,130,216,293,577
51.51695981,0.003940692,260,503,292,578
51.51696973,0.003955628,619,339,293,579
51.51696688,0.003953695,169,620,291,580
51.51697948,0.003929005,150,121,291,581
51.51697532,0.003929753,414,41,291,582
51.51698269,0.003952841,656,194,292,583
51.51699763,0.003929081,133,499,293,584
51.51700935,0.003933112,379,509,292,585
51.51701366,0.003924499,237,121,290,586
51.51701887,0.003926621,542,422,289,587
51.51703007,0.003904805,269,326,287,588
51.51702595,0.003917822,275,28,288,589
51.51704803,0.003893785,232,471,288,590
51.51704771,0.003883903,240,577,286,591
51.51706005,0.003883844,107,70,285,592
51.51706812,0.003898455,534,129,284,593
51.51706395,0.003875393,655,142,282,594
51.51707677,0.00388782,384,537,280,595
51.51708193,0.003865279,102,249,279,596
51.51709329,0.003861975,600,402,279,597
51.51708785,0.003870144,281,109,278,598
51.51710261,0.003874191,394,191,277,599
51.51709926,0.003862864,194,242,277,600
51.51712117,0.003848368,2,298,275,601
51.51711627,0.003860662,331,132,277,602
51.51712815,0.003855147,92,225,279,603
51.51713492,0.003833731,146,220,278,604
51.51713855,0.003818859,180,223,280,605
51.51714254,0.003820334,461,268,281,606
51.5171504,0.003799964,220,623,283,607
51.51716313,0.003812636,240,233,284,608
51.51716758,0.003821586,577,119,286,609
51.51718099,0.003810869,585,125,284,610
51.51718693,0.003788829,511,129,282,611
51.51718828,0.003812741,561,453,283,612
51.51720233,0.003770329,89,128,281,613
51.51720725,0.003772302,224,187,279,614
51.51721255,0.003764386,185,513,279,615
51.51722946,0.003766837,159,308,279,616
51.51721829,0.003759287,552,188,279,617
51.51724042,0.003788467,169,110,277,618
51.51723502,0.003741232,290,148,279,619
51.51724298,0.003761573,76,454,279,620
51.51725031,0.003740629,415,104,281,621
51.517269,0.003751709,464,228,279,622
51.51727792,0.003729099,542,289,281,623
51.51728916,0.003713236,321,154,281,624
51.51729187,0.003736852,385,490,279,625
51.51730271,0.003695633,488,52,280,626
51.5173126,0.003713668,320,587,281,627
51.51734142,0.003720666,160,117,279,628
51.5173522,0.003681591,630,699,281,629
51.51735639,0.003690309,124,188,279,630
51.51736269,0.003686377,291,274,280,631
51.51737453,0.003671674,317,651,282,632
51.5173892,0.003643015,395,101,282,633
51.51740287,0.003652819,111,54,284,634
51.51741335,0.00366998,201,169,284,635
51.51742826,0.003672322,204,217,285,636
51.51744411,0.003631578,654,162,284,637
51.51745625,0.003645653,385,521,286,638
51.51745835,0.003628608,580,22,288,639
51.51747182,0.003644829,254,176,287,640
51.51747907,0.003623816,54,245,288,641
51.51749392,0.003626967,158,309,286,642
51.51751482,0.003592564,693,757,300,643
51.51752736,0.003570553,420,345,288,644
51.51753451,0.003569112,315,619,290,645
51.51755285,0.003591944,666,550,291,646
51.51756064,0.003600742,243,400,291,647
51.51757514,0.003594727,421,374,292,648
51.51758314,0.003574427,561,681,290,649
51.51759111,0.003543436,331,411,289,650
51.51760567,0.003549392,656,546,287,651
51.51761664,0.003552149,25,39,285,652
51.51763962,0.00353116,165,262,285,653
51.51765453,0.003528976,553,472,286,654
51.51766362,0.003490453,215,325,286,655
51.51767005,0.003503276,829,694,312,656
51.51768385,0.003512599,592,405,284,657
51.51769583,0.003526147,45,334,285,658
51.51771536,0.003489731,14,210,285,659
51.51772071,0.003512154,589,396,286,660
51.51773221,0.003467805,527,586,285,661
51.51774388,0.003462612,58,133,286,662
51.51775512,0.00345639,417,302,285,663
51.51776123,0.003448759,379,549,285,664
51.51778162,0.003461845,148,177,286,665
51.51779027,0.003442238,561,547,284,666
51.5177989,0.003461861,253,111,282,667
51.51781376,0.003458809,613,325,284,668
51.51782197,0.003438732,188,464,283,669
51.51783281,0.003422158,609,230,284,670
51.5178439,0.003406003,446,400,282,671
51.51787368,0.003400875,195,255,281,672
51.51786821,0.003426406,191,564,282,673
51.51788714,0.00342181,141,642,282,674
51.51790626,0.003396847,171,648,282,675
51.51792046,0.003397502,233,604,281,676
51.51791499,0.003392963,100,100,282,677
51.51794213,0.003372626,241,259,283,678
51.51795776,0.003382689,483,180,285,679
51.51797055,0.003340676,222,46,284,680
51.5179789,0.003361315,668,639,285,681
51.51798345,0.003350004,259,89,286,682
51.51799352,0.003332233,65,568,288,683
51.51801713,0.003303306,220,317,286,684
51.51803131,0.003321767,716,48,303,685
51.51803961,0.003324264,131,468,288,686
51.51804259,0.003307949,610,249,290,687
51.51804988,0.003286966,29,275,291,688
51.51807007,0.003266015,401,374,292,689
51.51807409,0.003278387,375,440,291,690
51.51808888,0.003274537,168,457,293,691
51.51810802,0.003257855,322,206,295,692
51.51812035,0.003271478,88,519,295,693
51.51813311,0.003283046,24,542,293,694
51.51813444,0.003267044,397,155,292,695
